"borough","zone","total_trips","avg_distance","avg_fare","total_revenue"
"Bronx","Van Cortlandt Park",733,9.82,38.15,30472.19
"Queens","Saint Michaels Cemetery/Woodside",687,5.00,48.39,40893.92
"EWR","Newark Airport",547,1.74,96.18,61455.97
"Bronx","Bronx Park",485,9.22,39.46,22280.67
"Manhattan","Highbridge Park",442,6.33,33.23,16904.05
"Bronx","City Island",408,12.71,45.40,20698.63
"Staten Island","Arrochar/Fort Wadsworth",383,6.59,19.77,13074.89
"Bronx","Country Club",371,10.01,37.48,15618.93
"Queens","Forest Park/Highland Park",361,6.94,36.16,14837.46
"Brooklyn","Marine Park/Floyd Bennett Field",283,7.43,36.57,11825.06
"Staten Island","Stapleton",259,8.48,38.45,13340.36
"Staten Island","South Beach/Dongan Hills",246,6.94,27.55,9734.22
"Bronx","Pelham Bay Park",193,10.34,40.22,8534.61
"Bronx","Crotona Park",179,7.84,33.24,6669.71
"Queens","Astoria Park",168,5.47,43.93,9540.43
"Staten Island","Grymes Hill/Clifton",164,9.29,44.28,8946.65
"Staten Island","Bloomfield/Emerson Hill",151,10.80,52.25,9346.13
"Staten Island","New Dorp/Midland Beach",114,7.76,40.64,5542.93
"Staten Island","Heartland Village/Todt Hill",96,10.40,47.11,5552.72
"Queens","Broad Channel",91,6.83,32.14,3326.68
"Staten Island","Westerleigh",88,10.66,48.12,5393.38
"Queens","Willets Point",87,8.51,44.93,4600.59
"Staten Island","Saint George/New Brighton",74,11.58,49.90,4450.90
"Queens","Breezy Point/Fort Tilden/Riis Beach",67,14.27,55.56,4190.52
"Staten Island","Oakwood",57,7.38,36.07,2648.43
"Staten Island","Great Kills",54,9.63,47.47,3069.71
"Brooklyn","Green-Wood Cemetery",53,4.85,28.36,1749.86
"Staten Island","Mariners Harbor",46,11.75,49.10,2694.58
"Queens","Jamaica Bay",40,13.33,52.95,2540.18
"Staten Island","West Brighton",35,11.85,47.11,1955.73
"Staten Island","Port Richmond",33,9.72,40.79,1642.81
"Staten Island","Eltingville/Annadale/Prince's Bay",18,15.18,61.54,1279.96
"Staten Island","Charleston/Tottenville",11,13.73,59.06,719.62
"Bronx","Rikers Island",10,9.10,45.09,607.40
"Staten Island","Arden Heights",8,9.33,40.67,436.67
"Manhattan","Governor's Island/Ellis Island/Liberty Island",7,7.19,45.74,386.12
"Staten Island","Rossville/Woodrow",6,12.16,64.42,537.65
"Staten Island","Freshkills Park",5,5.33,42.06,232.20
